bank_category,bank_code,bank_name,district_code,district_name,branch_code,branch_name,routing_number
Private Commercial Bank (Conventional),020,AB Bank,06,Barishal,028,Barishal,020060288
Private Commercial Bank (Conventional),020,AB Bank,10,Bogura,037,Bogura,020100377
Private Commercial Bank (Conventional),020,AB Bank,12,Brahmanbaria,010,Ashuganj,020120102
Private Commercial Bank (Conventional),020,AB Bank,12,Brahmanbaria,043,Brahmanbaria,020120436
Private Commercial Bank (Conventional),020,AB Bank,13,Chandpur,031,Chandpur,020130318
Private Commercial Bank (Conventional),020,AB Bank,70,Chapainawabganj,025,Chapainawabganj,020700256
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,013,Agrabad,020150130
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,049,Anderkilla,020150493
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,079,Bahaddarhat,020150798
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,097,Banshkhali,020150972
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,130,Boalkhali,020151300
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,148,CDA Avenue,020151489
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,157,Chattogram EPZ,020151571
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,187,Chaturi,020151876
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,193,Chawk Bazar,020151939
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,244,Dewanhat,020152446
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,322,Hathazari,020153229
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,364,Jubilee Road,020153645
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,427,Khatunganj,020154273
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,436,Khulshi,020154365
Private Commercial Bank (Conventional),020,AB Bank,15,Chattogram,466,Lohagara,020154660
